㓦划	bo hua
㔩叶	e ye
㕷啦	pa la
㕷哒	pa da
㟏岈	han xia
㥄遽	ling ju
㲯毵	lan san
㶁㶁	guo guo
㶟水	lei shui
䀇子	gu zi
䈰箕	shao ji
䈾箕	shao ji
䍡𦌊	lu su
䍪羯	wa jie
䫄外	chua wai
䰀鬌	wo duo
䰐鬖	lan san
䰰䰰	ru ru
一不拗众	yi bu niu zhong
一丘一壑	yi qiu yi he
一丘一壑	yi qiu yi huo
一丘之貉	yi qiu zhi he
一干二净	yi gan er jing
一了	yi liao
一了心愿	yi liao xin yuan
一了百了	yi liao bai liao
一了百当	yi liao bai dang
一代巨擘	yi dai ju bo
一似	yi si
一个个要着地	yi ge ge yao zhuo di
一个劲	yi ge jin
一个猎古调	yi ge lie gu diao
一个碗内两张匙	yi ge wan nei liang zhang chi
一傅众咻	yi fu zhong xiu
一偿宿愿	yi chang su yuan
一分行情	yi fen hang qing
一剎那	yi cha na
一口两匙	yi kou liang chi
一回生两回熟	yi hui sheng liang hui shou
一地	yi di
一地胡拿	yi di hu na
一地里	yi di li
一报还一报	yi bao huan yi bao
一块石头落了地	yi kuai shi tou luo le di
一字长蛇阵	yi zi chang she zhen
一宿	yi xiu
一尺还他十寸	yi chi huan ta shi cun
一展长才	yi zhan chang cai
一席之地	yi xi zhi di
一席地	yi xi di
一度着蛇咬	yi du zhao she yao
一弛一张	yi shi yi zhang
一弦琴	yi xian qin
一张一弛	yi zhang yi shi
一弹指	yi tan zhi
一怔	yi leng
一意孤行	yi yi gu xing
一扎脚	yi zha jiao
一扠	yi zha
一技之长	yi ji zhi chang
一抹	yi mo
一捻	yi nian
一捻红	yi nian hong
一掴一掌血	yi guo yi zhang xie
一掴一掌血	yi guo yi zhang xue
一搅果	yi jiao guo
一败涂地	yi bai tu di
一晌	yi shang
一暴十寒	yi pu shi han
一曝十寒	yi pu shi han
一朝	yi zhao
一朝一夕	yi zhao yi xi
一朝天子一朝臣	yi chao tian zi yi chao chen
一朝权在手	yi zhao quan zai shou
一朝被蛇咬	yi zhao bei she yao
一枝栖	yi zhi qi
一概抹杀	yi gai mo sha
一模一样	yi mo yi yang
一模一样	yi mu yi yang
一树百获	yi shu bo huo
一死了之	yi si liao zhi
一气呵成	yi qi he cheng
一灭行	yi mie xing
一无所长	yi wu suo chang
一无长物	yi wu zhang wu
一争长短	yi zheng chang duan
一牛吼地	yi niu hou di
一物降一物	yi wu xiang yi wu
一狐之腋	yi hu zhi yi
一生喫着不尽	yi sheng chi zhuo bu jin
一亩三分地	yi mu san fen di
一番	yi fan
一番口舌	yi fan kou she
一番话	yi fan hua
一百二十行	yi bai er shi hang
一目了然	yi mu liao ran
一目十行	yi mu shi hang
一着	yi zhao
一着	yi zhuo
一着不慎	yi zhuo bu shen
一着错	yi zhuo cuo
一瞑不视	yi ming bu shi
一矢之地	yi shi zhi di
一石米养个仇人	yi dan mi yang ge chou ren
一磔手	yi zhe shou
一稔	yi ren
一笏	yi hu
一笔抹倒	yi bi mo dao
一笔抹杀	yi bi mo sha
一笔抹煞	yi bi mo sha
一箭之仇	yi jian zhi chou
一箭之地	yi jian zhi di
一箪食	yi dan si
一声不吭	yi sheng bu keng
一脚地	yi jiao di
一叶扁舟	yi ye pian zhou
一行三昧	yi hang san mei
一行人	yi xing ren
一行作吏	yi xing zuo li
一冲一撞	yi chong yi zhuang
一觉	yi jiao
一触即溃	yi chu ji kui
一言一行	yi yan yi xing
一言中的	yi yan zhong di
