㐀	SHHSH
㐁	HSZPNH
㐂	HZHZHZ
㐃	ZNS
㐄	HZS
㐅	PN
㐆	SZHHHSHSPNHSZS
㐇	PZZ
㐈	PNZ
㐉	HZZ
㐊	HSHZ
㐋	HSHZ
㐌	PHZSZ
㐍	PNNPZ
㐎	NHPNZ
㐏	HSZHZ
㐐	ZPHZNZ
㐑	PZNNNZ
㐒	ZPSZHZ
㐓	HSZHZZ
㐔	NHSZHZ
㐕	SZHSHZ
㐖	HSHSZHZ
㐗	HSHPHZZ
㐘	NPHSPNZ
㐙	HSZHNPHZ
㐚	HSZHSZHZ
㐛	PSHPSZHZ
㐜	HZNNPNNPZ
㐝	HZHPZSZHZ
㐞	HSSHHHPNZ
㐟	PHHHSHHHZ
㐠	PNNPZZHZ
㐡	PZHPSZSSHPN
㐢	NNNPNNPZZHZ
㐣	NHPHSZHHHSZ
㐤	PZHSSZHHHHPN
㐥	PNHHSNPHSZHHHZPZ
㐦	HSZPPSHHZHHHPNPHHZZ
㐧	ZZNP
㐨	ZNZZZNZZ
㐩	HHPSHHPS
㐪	HZSPN
㐫	NHPNZS
㐬	NHZNPSZ
㐭	NHSZSZHH
㐮	NHPNHHSSHPZPN
㐯	NHSZHSZHPHSPNSZHH
㐰	PSSZH
㐱	PNPPP
㐲	PSHPN
㐳	PSHPZ
㐴	PSPZN
㐵	PSHHZ
㐶	SZHHHSHSPNHSZS
㐷	PSZZH
㐸	PSPZPN
㐹	PSPHHZ
㐺	PSPSPN
㐻	PSSZPN
㐼	PSPPHS
㐽	PSPZPN
㐾	SZHHHSHSPNHSZS
㐿	PSPHHZ
㑀	PSHPNN
㑁	PSSZSZS
㑂	PSHSZPN
㑃	PSZZNZP
㑄	PSZZNNH
㑅	PSPHSHH
㑆	PSSZHPZ
㑇	PSPZZHH
㑈	PSHZZPN
㑉	PSPZHPZN
㑊	PSNHPZPN
㑋	PSSZHSSH
㑌	PSHHHSHZ
㑍	PSPHHSPN
㑎	PSZZZSZS
㑏	PSNNZHZN
㑐	PSSHHZPN
㑑	PSPSZHHH
㑒	PNHSZHPN
㑓	SZHHHSHSPNHSZS
㑔	PSHPSZPN
